,Dex,Pokemon,Chance,Chance percentage,end
0,599,Klink,1/175,0.5704,5704.0
1,669,Flabébé,1/175,0.5704,11408.0
2,506,Lillipup,1/175,0.5704,17112.0
3,582,Vanillite,1/175,0.5704,22816.0
4,187,Hoppip,1/175,0.5704,28520.0
5,137,Porygon,1/175,0.5704,34224.0
6,396,Starly,1/175,0.5704,39928.0
7,74,Geodude,1/175,0.5704,45632.0
8,41,Zubat,1/175,0.5704,51336.0
9,535,Tympole,1/175,0.5704,57040.0
10,43,Oddish,1/175,0.5704,62744.0
11,885,Dreepy,1/175,0.5704,68448.0
12,92,Gastly,1/175,0.5704,74152.0
13,679,Honedge,1/175,0.5704,79856.0
14,602,Tynamo,1/175,0.5704,85560.0
15,607,Litwick,1/175,0.5704,91264.0
16,610,Axew,1/175,0.5704,96968.0
17,761,Bounsweet,1/175,0.5704,102672.0
18,216,Teddiursa,1/175,0.5704,108376.0
19,355,Duskull,1/175,0.5704,114080.0
20,328,Trapinch,1/175,0.5704,119784.0
21,116,Horsea,1/175,0.5704,125488.0
22,69,Bellsprout,1/175,0.5704,131192.0
23,731,Pikipek,1/175,0.5704,136896.0
24,111,Rhyhorn,1/175,0.5704,142600.0
25,403,Shinx,1/175,0.5704,148304.0
26,66,Machop,1/175,0.5704,154008.0
27,60,Poliwag,1/175,0.5704,159712.0
28,661,Fletchling,1/175,0.5704,165416.0
29,664,Scatterbug,1/175,0.5704,171120.0
30,63,Abra,1/175,0.5704,176824.0
31,577,Solosis,1/175,0.5704,182528.0
32,821,Rookidee,1/175,0.5704,188232.0
33,32,Nidoran♂️,1/175,0.5704,193936.0
34,16,Pidgey,1/175,0.5704,199640.0
35,280,Ralts,1/175,0.5704,205344.0
36,540,Sewaddle,1/175,0.5704,211048.0
37,273,Seedot,1/175,0.5704,216752.0
38,859,Impidimp,1/175,0.5704,222456.0
39,532,Timburr,1/175,0.5704,228160.0
40,543,Venipede,1/175,0.5704,233864.0
41,856,Hatenna,1/175,0.5704,239568.0
42,10,Caterpie,1/175,0.5704,245272.0
43,551,Sandile,1/175,0.5704,250976.0
44,270,Lotad,1/175,0.5704,256680.0
45,13,Weedle,1/175,0.5704,262384.0
46,524,Roggenrola,1/175,0.5704,268088.0
47,287,Slakoth,1/175,0.5704,273792.0
48,736,Grubbin,1/175,0.5704,279496.0
49,574,Gothita,1/175,0.5704,285200.0
50,175,Togepi,1/175,0.5704,290904.0
51,81,Magnemite,1/175,0.5704,296608.0
52,265,Wurmple,1/175,0.5704,302312.0
53,293,Whismur,1/175,0.5704,308016.0
54,837,Rolycoly,1/175,0.5704,313720.0
55,519,Pidove,1/175,0.5704,319424.0
56,363,Spheal,1/175,0.5704,325128.0
57,179,Mareep,1/175,0.5704,330832.0
58,304,Aron,1/175,0.5704,336536.0
59,220,Swinub,1/175,0.5704,342240.0
60,29,Nidoran♀️,1/175,0.5704,347944.0
61,824,Blipbug,1/175,0.5704,353648.0
62,371,Bagon,1/263,0.3803,359352.0
63,704,Goomy,1/263,0.3803,363155.0
64,374,Beldum,1/263,0.3803,366958.0
65,633,Deino,1/263,0.3803,370761.0
66,246,Larvitar,1/263,0.3803,374564.0
67,443,Gible,1/263,0.3803,378367.0
68,782,Jangmo-o,1/263,0.3803,382170.0
69,19,Rattata,1/263,0.3803,385973.0
70,147,Dratini,1/263,0.3803,389776.0
71,656,Froakie,1/526,0.1901,393579.0
72,393,Piplup,1/526,0.1901,395480.0
73,158,Totodile,1/526,0.1901,397381.0
74,155,Cyndaquil,1/526,0.1901,399282.0
75,390,Chimchar,1/526,0.1901,401183.0
76,501,Oshawott,1/526,0.1901,403084.0
77,152,Chikorita,1/526,0.1901,404985.0
78,653,Fennekin,1/526,0.1901,406886.0
79,498,Tepig,1/526,0.1901,408787.0
80,495,Snivy,1/526,0.1901,410688.0
81,650,Chespin,1/526,0.1901,412589.0
82,1,Bulbasaur,1/526,0.1901,414490.0
83,387,Turtwig,1/526,0.1901,416391.0
84,816,Sobble,1/526,0.1901,418292.0
85,4,Charmander,1/526,0.1901,420193.0
86,7,Squirtle,1/526,0.1901,422094.0
87,722,Rowlet,1/526,0.1901,423995.0
88,252,Treecko,1/526,0.1901,425896.0
89,725,Litten,1/526,0.1901,427797.0
90,810,Grookey,1/526,0.1901,429698.0
91,728,Popplio,1/526,0.1901,431599.0
92,258,Mudkip,1/526,0.1901,433500.0
93,813,Scorbunny,1/526,0.1901,435401.0
94,255,Torchic,1/526,0.1901,437302.0
95,388,Grotle,1/701,0.1426,439203.0
96,305,Lairon,1/701,0.1426,440629.0
97,509,Purrloin,1/701,0.1426,442055.0
98,307,Meditite,1/701,0.1426,443481.0
99,507,Herdier,1/701,0.1426,444907.0
100,315,Roselia,1/701,0.1426,446333.0
101,309,Electrike,1/701,0.1426,447759.0
102,504,Patrat,1/701,0.1426,449185.0
103,502,Dewott,1/701,0.1426,450611.0
104,499,Pignite,1/701,0.1426,452037.0
105,496,Servine,1/701,0.1426,453463.0
106,316,Gulpin,1/701,0.1426,454889.0
107,511,Pansage,1/701,0.1426,456315.0
108,517,Munna,1/701,0.1426,457741.0
109,513,Pansear,1/701,0.1426,459167.0
110,515,Panpour,1/701,0.1426,460593.0
111,281,Kirlia,1/701,0.1426,462019.0
112,529,Drilbur,1/701,0.1426,463445.0
113,527,Woobat,1/701,0.1426,464871.0
114,525,Boldore,1/701,0.1426,466297.0
115,283,Surskit,1/701,0.1426,467723.0
116,285,Shroomish,1/701,0.1426,469149.0
117,288,Vigoroth,1/701,0.1426,470575.0
118,290,Nincada,1/701,0.1426,472001.0
119,522,Blitzle,1/701,0.1426,473427.0
120,294,Loudred,1/701,0.1426,474853.0
121,520,Tranquill,1/701,0.1426,476279.0
122,296,Makuhita,1/701,0.1426,477705.0
123,299,Nosepass,1/701,0.1426,479131.0
124,300,Skitty,1/701,0.1426,480557.0
125,459,Snover,1/701,0.1426,481983.0
126,318,Carvanha,1/701,0.1426,483409.0
127,320,Wailmer,1/701,0.1426,484835.0
128,456,Finneon,1/701,0.1426,486261.0
129,353,Shuppet,1/701,0.1426,487687.0
130,412,Burmy,1/701,0.1426,489113.0
131,345,Lileep,1/701,0.1426,490539.0
132,410,Shieldon,1/701,0.1426,491965.0
133,347,Anorith,1/701,0.1426,493391.0
134,408,Cranidos,1/701,0.1426,494817.0
135,404,Luxio,1/701,0.1426,496243.0
136,349,Feebas,1/701,0.1426,497669.0
137,401,Kricketot,1/701,0.1426,499095.0
138,343,Baltoy,1/701,0.1426,500521.0
139,399,Bidoof,1/701,0.1426,501947.0
140,356,Dusclops,1/701,0.1426,503373.0
141,397,Staravia,1/701,0.1426,504799.0
142,361,Snorunt,1/701,0.1426,506225.0
143,394,Prinplup,1/701,0.1426,507651.0
144,364,Sealeo,1/701,0.1426,509077.0
145,391,Monferno,1/701,0.1426,510503.0
146,415,Combee,1/701,0.1426,511929.0
147,418,Buizel,1/701,0.1426,513355.0
148,366,Clamperl,1/701,0.1426,514781.0
149,431,Glameow,1/701,0.1426,516207.0
150,453,Croagunk,1/701,0.1426,517633.0
151,322,Numel,1/701,0.1426,519059.0
152,451,Skorupi,1/701,0.1426,520485.0
153,449,Hippopotas,1/701,0.1426,521911.0
154,447,Riolu,1/701,0.1426,523337.0
155,325,Spoink,1/701,0.1426,524763.0
156,436,Bronzor,1/701,0.1426,526189.0
157,427,Buneary,1/701,0.1426,527615.0
158,341,Corphish,1/701,0.1426,529041.0
159,329,Vibrava,1/701,0.1426,530467.0
160,425,Drifloon,1/701,0.1426,531893.0
161,331,Cacnea,1/701,0.1426,533319.0
162,422,Shellos,1/701,0.1426,534745.0
163,333,Swablu,1/701,0.1426,536171.0
164,339,Barboach,1/701,0.1426,537597.0
165,420,Cherubi,1/701,0.1426,539023.0
166,533,Gurdurr,1/701,0.1426,540449.0
167,585,Deerling,1/701,0.1426,541875.0
168,536,Palpitoad,1/701,0.1426,543301.0
169,767,Wimpod,1/701,0.1426,544727.0
170,759,Stufful,1/701,0.1426,546153.0
171,757,Salandit,1/701,0.1426,547579.0
172,755,Morelull,1/701,0.1426,549005.0
173,753,Fomantis,1/701,0.1426,550431.0
174,751,Dewpider,1/701,0.1426,551857.0
175,749,Mudbray,1/701,0.1426,553283.0
176,747,Mareanie,1/701,0.1426,554709.0
177,744,Rockruff,1/701,0.1426,556135.0
178,742,Cutiefly,1/701,0.1426,557561.0
179,739,Crabrawler,1/701,0.1426,558987.0
180,737,Charjabug,1/701,0.1426,560413.0
181,734,Yungoos,1/701,0.1426,561839.0
182,732,Trumbeak,1/701,0.1426,563265.0
183,729,Brionne,1/701,0.1426,564691.0
184,726,Torracat,1/701,0.1426,566117.0
185,723,Dartrix,1/701,0.1426,567543.0
186,714,Noibat,1/701,0.1426,568969.0
187,712,Bergmite,1/701,0.1426,570395.0
188,710,Pumpkaboo,1/701,0.1426,571821.0
189,708,Phantump,1/701,0.1426,573247.0
190,698,Amaura,1/701,0.1426,574673.0
191,696,Tyrunt,1/701,0.1426,576099.0
192,694,Helioptile,1/701,0.1426,577525.0
193,762,Steenee,1/701,0.1426,578951.0
194,769,Sandygast,1/701,0.1426,580377.0
195,690,Skrelp,1/701,0.1426,581803.0
196,886,Drakloak,1/701,0.1426,583229.0
197,872,Snom,1/701,0.1426,584655.0
198,860,Morgrem,1/701,0.1426,586081.0
199,857,Hattrem,1/701,0.1426,587507.0
200,854,Sinistea,1/701,0.1426,588933.0
201,852,Clobbopus,1/701,0.1426,590359.0
202,850,Sizzlipede,1/701,0.1426,591785.0
203,848,Toxel,1/701,0.1426,593211.0
204,846,Arrokuda,1/701,0.1426,594637.0
205,843,Silicobra,1/701,0.1426,596063.0
206,840,Applin,1/701,0.1426,597489.0
207,838,Carkol,1/701,0.1426,598915.0
208,835,Yamper,1/701,0.1426,600341.0
209,833,Chewtle,1/701,0.1426,601767.0
210,831,Wooloo,1/701,0.1426,603193.0
211,829,Gossifleur,1/701,0.1426,604619.0
212,827,Nickit,1/701,0.1426,606045.0
213,825,Dottler,1/701,0.1426,607471.0
214,822,Corvisquire,1/701,0.1426,608897.0
215,819,Skwovet,1/701,0.1426,610323.0
216,817,Drizzile,1/701,0.1426,611749.0
217,814,Raboot,1/701,0.1426,613175.0
218,811,Thwackey,1/701,0.1426,614601.0
219,878,Cufant,1/701,0.1426,616027.0
220,692,Clauncher,1/701,0.1426,617453.0
221,688,Binacle,1/701,0.1426,618879.0
222,541,Swadloon,1/701,0.1426,620305.0
223,603,Eelektrik,1/701,0.1426,621731.0
224,597,Ferroseed,1/701,0.1426,623157.0
225,595,Joltik,1/701,0.1426,624583.0
226,592,Frillish,1/701,0.1426,626009.0
227,590,Foongus,1/701,0.1426,627435.0
228,588,Karrablast,1/701,0.1426,628861.0
229,276,Taillow,1/701,0.1426,630287.0
230,583,Vanillish,1/701,0.1426,631713.0
231,580,Ducklett,1/701,0.1426,633139.0
232,578,Duosion,1/701,0.1426,634565.0
233,575,Gothorita,1/701,0.1426,635991.0
234,572,Minccino,1/701,0.1426,637417.0
235,570,Zorua,1/701,0.1426,638843.0
236,568,Trubbish,1/701,0.1426,640269.0
237,566,Archen,1/701,0.1426,641695.0
238,564,Tirtouga,1/701,0.1426,643121.0
239,562,Yamask,1/701,0.1426,644547.0
240,559,Scraggy,1/701,0.1426,645973.0
241,557,Dwebble,1/701,0.1426,647399.0
242,554,Darumaka,1/701,0.1426,648825.0
243,552,Krokorok,1/701,0.1426,650251.0
244,548,Petilil,1/701,0.1426,651677.0
245,546,Cottonee,1/701,0.1426,653103.0
246,544,Whirlipede,1/701,0.1426,654529.0
247,600,Klang,1/701,0.1426,655955.0
248,605,Elgyem,1/701,0.1426,657381.0
249,686,Inkay,1/701,0.1426,658807.0
250,608,Lampent,1/701,0.1426,660233.0
251,684,Swirlix,1/701,0.1426,661659.0
252,682,Spritzee,1/701,0.1426,663085.0
253,680,Doublade,1/701,0.1426,664511.0
254,677,Espurr,1/701,0.1426,665937.0
255,674,Pancham,1/701,0.1426,667363.0
256,672,Skiddo,1/701,0.1426,668789.0
257,670,Floette,1/701,0.1426,670215.0
258,667,Litleo,1/701,0.1426,671641.0
259,665,Spewpa,1/701,0.1426,673067.0
260,662,Fletchinder,1/701,0.1426,674493.0
261,659,Bunnelby,1/701,0.1426,675919.0
262,657,Frogadier,1/701,0.1426,677345.0
263,654,Braixen,1/701,0.1426,678771.0
264,651,Quilladin,1/701,0.1426,680197.0
265,636,Larvesta,1/701,0.1426,681623.0
266,629,Vullaby,1/701,0.1426,683049.0
267,627,Rufflet,1/701,0.1426,684475.0
268,624,Pawniard,1/701,0.1426,685901.0
269,622,Golett,1/701,0.1426,687327.0
270,619,Mienfoo,1/701,0.1426,688753.0
271,616,Shelmet,1/701,0.1426,690179.0
272,613,Cubchoo,1/701,0.1426,691605.0
273,611,Fraxure,1/701,0.1426,693031.0
274,278,Wingull,1/701,0.1426,694457.0
275,434,Stunky,1/701,0.1426,695883.0
276,868,Milcery,1/701,0.1426,697309.0
277,61,Poliwhirl,1/701,0.1426,698735.0
278,204,Pineco,1/701,0.1426,700161.0
279,67,Machoke,1/701,0.1426,701587.0
280,70,Weepinbell,1/701,0.1426,703013.0
281,72,Tentacool,1/701,0.1426,704439.0
282,75,Graveler,1/701,0.1426,705865.0
283,77,Ponyta,1/701,0.1426,707291.0
284,200,Misdreavus,1/701,0.1426,708717.0
285,198,Murkrow,1/701,0.1426,710143.0
286,79,Slowpoke,1/701,0.1426,711569.0
287,82,Magneton,1/701,0.1426,712995.0
288,84,Doduo,1/701,0.1426,714421.0
289,86,Seel,1/701,0.1426,715847.0
290,88,Grimer,1/701,0.1426,717273.0
291,90,Shellder,1/701,0.1426,718699.0
292,93,Haunter,1/701,0.1426,720125.0
293,64,Kadabra,1/701,0.1426,721551.0
294,207,Gligar,1/701,0.1426,722977.0
295,234,Stantler,1/701,0.1426,724403.0
296,209,Snubbull,1/701,0.1426,725829.0
297,44,Gloom,1/701,0.1426,727255.0
298,231,Phanpy,1/701,0.1426,728681.0
299,46,Paras,1/701,0.1426,730107.0
300,228,Houndour,1/701,0.1426,731533.0
301,48,Venonat,1/701,0.1426,732959.0
302,223,Remoraid,1/701,0.1426,734385.0
303,50,Diglett,1/701,0.1426,735811.0
304,221,Piloswine,1/701,0.1426,737237.0
305,218,Slugma,1/701,0.1426,738663.0
306,217,Ursaring,1/701,0.1426,740089.0
307,52,Meowth,1/701,0.1426,741515.0
308,215,Sneasel,1/701,0.1426,742941.0
309,54,Psyduck,1/701,0.1426,744367.0
310,56,Mankey,1/701,0.1426,745793.0
311,58,Growlithe,1/701,0.1426,747219.0
312,95,Onix,1/701,0.1426,748645.0
313,96,Drowzee,1/701,0.1426,750071.0
314,98,Krabby,1/701,0.1426,751497.0
315,194,Wooper,1/701,0.1426,752923.0
316,118,Goldeen,1/701,0.1426,754349.0
317,167,Spinarak,1/701,0.1426,755775.0
318,165,Ledyba,1/701,0.1426,757201.0
319,120,Staryu,1/701,0.1426,758627.0
320,163,Hoothoot,1/701,0.1426,760053.0
321,161,Sentret,1/701,0.1426,761479.0
322,159,Croconaw,1/701,0.1426,762905.0
323,123,Scyther,1/701,0.1426,764331.0
324,125,Electabuzz,1/701,0.1426,765757.0
325,156,Quilava,1/701,0.1426,767183.0
326,126,Magmar,1/701,0.1426,768609.0
327,153,Bayleef,1/701,0.1426,770035.0
328,129,Magikarp,1/701,0.1426,771461.0
329,133,Eevee,1/701,0.1426,772887.0
330,140,Kabuto,1/701,0.1426,774313.0
331,170,Chinchou,1/701,0.1426,775739.0
332,117,Seadra,1/701,0.1426,777165.0
333,114,Tangela,1/701,0.1426,778591.0
334,104,Cubone,1/701,0.1426,780017.0
335,193,Yanma,1/701,0.1426,781443.0
336,100,Voltorb,1/701,0.1426,782869.0
337,191,Sunkern,1/701,0.1426,784295.0
338,190,Aipom,1/701,0.1426,785721.0
339,102,Exeggcute,1/701,0.1426,787147.0
340,188,Skiploom,1/701,0.1426,788573.0
341,183,Marill,1/701,0.1426,789999.0
342,113,Chansey,1/701,0.1426,791425.0
343,108,Lickitung,1/701,0.1426,792851.0
344,109,Koffing,1/701,0.1426,794277.0
345,180,Flaaffy,1/701,0.1426,795703.0
346,112,Rhydon,1/701,0.1426,797129.0
347,177,Natu,1/701,0.1426,798555.0
348,176,Togetic,1/701,0.1426,799981.0
349,233,Porygon2,1/701,0.1426,801407.0
350,138,Omanyte,1/701,0.1426,802833.0
351,261,Poochyena,1/701,0.1426,804259.0
352,21,Spearow,1/701,0.1426,805685.0
353,266,Silcoon,1/701,0.1426,807111.0
354,39,Jigglypuff,1/701,0.1426,808537.0
355,256,Combusken,1/701,0.1426,809963.0
356,268,Cascoon,1/701,0.1426,811389.0
357,35,Clefairy,1/701,0.1426,812815.0
358,25,Pikachu,1/701,0.1426,814241.0
359,271,Lombre,1/701,0.1426,815667.0
360,259,Marshtomp,1/701,0.1426,817093.0
361,27,Sandshrew,1/701,0.1426,818519.0
362,17,Pidgeotto,1/701,0.1426,819945.0
363,263,Zigzagoon,1/701,0.1426,821371.0
364,11,Metapod,1/701,0.1426,822797.0
365,37,Vulpix,1/701,0.1426,824223.0
366,274,Nuzleaf,1/701,0.1426,825649.0
367,42,Golbat,1/701,0.1426,827075.0
368,23,Ekans,1/701,0.1426,828501.0
369,253,Grovyle,1/701,0.1426,829927.0
370,33,Nidorino,1/701,0.1426,831353.0
371,14,Kakuna,1/701,0.1426,832779.0
372,30,Nidorina,1/701,0.1426,834205.0
373,236,Tyrogue,1/701,0.1426,835631.0
374,783,Hakamo-o,1/1052,0.0951,837057.0
375,2,Ivysaur,1/1052,0.0951,838008.0
376,444,Gabite,1/1052,0.0951,838959.0
377,634,Zweilous,1/1052,0.0951,839910.0
378,247,Pupitar,1/1052,0.0951,840861.0
379,8,Wartortle,1/1052,0.0951,841812.0
380,5,Charmeleon,1/1052,0.0951,842763.0
381,375,Metang,1/1052,0.0951,843714.0
382,20,Raticate,1/1052,0.0951,844665.0
383,705,Sliggoo,1/1052,0.0951,845616.0
384,372,Shelgon,1/1052,0.0951,846567.0
385,148,Dragonair,1/1052,0.0951,847518.0
386,110,Weezing,1/2805,0.0357,848469.0
387,658,Greninja,1/2805,0.0357,848826.0
388,105,Marowak,1/2805,0.0357,849183.0
389,849,Toxtricity,1/2805,0.0357,849540.0
390,107,Hitmonchan,1/2805,0.0357,849897.0
391,655,Delphox,1/2805,0.0357,850254.0
392,847,Barraskewda,1/2805,0.0357,850611.0
393,652,Chesnaught,1/2805,0.0357,850968.0
394,15,Beedrill,1/2805,0.0357,851325.0
395,660,Diggersby,1/2805,0.0357,851682.0
396,106,Hitmonlee,1/2805,0.0357,852039.0
397,879,Copperajah,1/2805,0.0357,852396.0
398,103,Exeggutor,1/2805,0.0357,852753.0
399,845,Cramorant,1/2805,0.0357,853110.0
400,683,Aromatisse,1/2805,0.0357,853467.0
401,91,Cloyster,1/2805,0.0357,853824.0
402,681,Aegislash,1/2805,0.0357,854181.0
403,22,Fearow,1/2805,0.0357,854538.0
404,94,Gengar,1/2805,0.0357,854895.0
405,678,Meowstic,1/2805,0.0357,855252.0
406,676,Furfrou,1/2805,0.0357,855609.0
407,675,Pangoro,1/2805,0.0357,855966.0
408,673,Gogoat,1/2805,0.0357,856323.0
409,97,Hypno,1/2805,0.0357,856680.0
410,671,Florges,1/2805,0.0357,857037.0
411,839,Coalossal,1/2805,0.0357,857394.0
412,99,Kingler,1/2805,0.0357,857751.0
413,668,Pyroar,1/2805,0.0357,858108.0
414,841,Flapple,1/2805,0.0357,858465.0
415,842,Appletun,1/2805,0.0357,858822.0
416,666,Vivillon,1/2805,0.0357,859179.0
417,18,Pidgeot,1/2805,0.0357,859536.0
418,637,Volcarona,1/2805,0.0357,859893.0
419,844,Sandaconda,1/2805,0.0357,860250.0
420,663,Talonflame,1/2805,0.0357,860607.0
421,101,Electrode,1/2805,0.0357,860964.0
422,628,Braviary,1/2805,0.0357,861321.0
423,851,Centiskorch,1/2805,0.0357,861678.0
424,12,Butterfree,1/2805,0.0357,862035.0
425,3,Venusaur,1/2805,0.0357,862392.0
426,606,Beheeyem,1/2805,0.0357,862749.0
427,127,Pinsir,1/2805,0.0357,863106.0
428,604,Eelektross,1/2805,0.0357,863463.0
429,871,Pincurchin,1/2805,0.0357,863820.0
430,128,Tauros,1/2805,0.0357,864177.0
431,870,Falinks,1/2805,0.0357,864534.0
432,601,Klinklang,1/2805,0.0357,864891.0
433,130,Gyarados,1/2805,0.0357,865248.0
434,131,Lapras,1/2805,0.0357,865605.0
435,598,Ferrothorn,1/2805,0.0357,865962.0
436,132,Ditto,1/2805,0.0357,866319.0
437,596,Galvantula,1/2805,0.0357,866676.0
438,594,Alomomola,1/2805,0.0357,867033.0
439,593,Jellicent,1/2805,0.0357,867390.0
440,134,Vaporeon,1/2805,0.0357,867747.0
441,591,Amoonguss,1/2805,0.0357,868104.0
442,135,Jolteon,1/2805,0.0357,868461.0
443,589,Escavalier,1/2805,0.0357,868818.0
444,136,Flareon,1/2805,0.0357,869175.0
445,587,Emolga,1/2805,0.0357,869532.0
446,586,Sawsbuck,1/2805,0.0357,869889.0
447,869,Alcremie,1/2805,0.0357,870246.0
448,861,Grimmsnarl,1/2805,0.0357,870603.0
449,609,Chandelure,1/2805,0.0357,870960.0
450,124,Jynx,1/2805,0.0357,871317.0
451,623,Golurk,1/2805,0.0357,871674.0
452,853,Grapploct,1/2805,0.0357,872031.0
453,632,Durant,1/2805,0.0357,872388.0
454,631,Heatmor,1/2805,0.0357,872745.0
455,630,Mandibuzz,1/2805,0.0357,873102.0
456,115,Kangaskhan,1/2805,0.0357,873459.0
457,685,Slurpuff,1/2805,0.0357,873816.0
458,626,Bouffalant,1/2805,0.0357,874173.0
459,625,Bisharp,1/2805,0.0357,874530.0
460,855,Polteageist,1/2805,0.0357,874887.0
461,9,Blastoise,1/2805,0.0357,875244.0
462,119,Seaking,1/2805,0.0357,875601.0
463,612,Haxorus,1/2805,0.0357,875958.0
464,621,Druddigon,1/2805,0.0357,876315.0
465,620,Mienshao,1/2805,0.0357,876672.0
466,618,Stunfisk,1/2805,0.0357,877029.0
467,858,Hatterene,1/2805,0.0357,877386.0
468,617,Accelgor,1/2805,0.0357,877743.0
469,121,Starmie,1/2805,0.0357,878100.0
470,615,Cryogonal,1/2805,0.0357,878457.0
471,6,Charizard,1/2805,0.0357,878814.0
472,614,Beartic,1/2805,0.0357,879171.0
473,122,Mr. Mime,1/2805,0.0357,879528.0
474,836,Boltund,1/2805,0.0357,879885.0
475,693,Clawitzer,1/2805,0.0357,880242.0
476,89,Muk,1/2805,0.0357,880599.0
477,47,Parasect,1/2805,0.0357,880956.0
478,873,Frosmoth,1/2805,0.0357,881313.0
479,766,Passimian,1/2805,0.0357,881670.0
480,765,Oranguru,1/2805,0.0357,882027.0
481,764,Comfey,1/2805,0.0357,882384.0
482,763,Tsareena,1/2805,0.0357,882741.0
483,40,Wigglytuff,1/2805,0.0357,883098.0
484,49,Venomoth,1/2805,0.0357,883455.0
485,812,Rillaboom,1/2805,0.0357,883812.0
486,760,Bewear,1/2805,0.0357,884169.0
487,51,Dugtrio,1/2805,0.0357,884526.0
488,38,Ninetales,1/2805,0.0357,884883.0
489,758,Salazzle,1/2805,0.0357,885240.0
490,815,Cinderace,1/2805,0.0357,885597.0
491,36,Clefable,1/2805,0.0357,885954.0
492,756,Shiinotic,1/2805,0.0357,886311.0
493,53,Persian,1/2805,0.0357,886668.0
494,754,Lurantis,1/2805,0.0357,887025.0
495,752,Araquanid,1/2805,0.0357,887382.0
496,55,Golduck,1/2805,0.0357,887739.0
497,750,Mudsdale,1/2805,0.0357,888096.0
498,818,Inteleon,1/2805,0.0357,888453.0
499,748,Toxapex,1/2805,0.0357,888810.0
500,57,Primeape,1/2805,0.0357,889167.0
501,768,Golisopod,1/2805,0.0357,889524.0
502,770,Palossand,1/2805,0.0357,889881.0
503,745,Lycanroc,1/2805,0.0357,890238.0
504,771,Pyukumuku,1/2805,0.0357,890595.0
505,881,Arctozolt,1/2805,0.0357,890952.0
506,877,Morpeko,1/2805,0.0357,891309.0
